,t_ts,tau_fb_ts_1,tau_fb_ts_2,tau_ts_1,tau_ts_2,th_d_ts_1,th_d_ts_2,th_dd_ts_1,th_dd_ts_2,th_ts_1,th_ts_2,th_ts_2_rel,th_d_ts_2_rel
1245,12.44,0.0,0.0,0.0,0.0,-0.09500540444541843,-0.542927693540215,-0.14366502990754923,-0.4118813674993273,-1.534375102558051,-1.4925460456990802,0.04182905685897076,-0.44792228909479653
1246,12.450000000000001,0.0,0.0,0.0,0.0,-0.09645602549254866,-0.5467939440011317,-0.14645589820206553,-0.36131702345239936,-1.5353323864588904,-1.4979950752125895,0.03733731124630091,-0.450337918508583
1247,12.46,0.0,0.0,0.0,0.0,-0.09793443276714732,-0.5501531139023866,-0.14921986668245305,-0.3104766814355478,-1.5363043157255574,-1.5034802341275888,0.03282408159796857,-0.45221868113523933
1248,12.47,0.0,0.0,0.0,0.0,-0.09944028466597621,-0.5530027872004853,-0.15194238269927302,-0.25942923501286047,-1.5372911666335634,-1.508996438984226,0.02829472764933727,-0.45356250253450914
1249,12.48,0.0,0.0,0.0,0.0,-0.10097309320109005,-0.5553412396973204,-0.15460873108523732,-0.20824413155365812,-1.5382932113118175,-1.5145385856168263,0.023754625694991205,-0.45436814649623036
1250,12.49,0.0,0.0,0.0,0.0,-0.10253222265105101,-0.557167443727358,-0.1572040896839329,-0.15699120144726217,-1.5393107162715733,-1.5201015560972055,0.019209160174367804,-0.45463522107630705
1251,12.5,0.0,0.0,0.0,0.0,-0.10411688877418633,-0.5584810711205482,-0.15971358615437856,-0.10574048422776328,-1.5403439409246868,-1.5256802257162592,0.014663715208427687,-0.4543641823463619
1252,12.51,0.0,0.0,0.0,0.0,-0.10572615859436327,-0.5592824944159502,-0.16212235559245416,-0.05456205279161083,-1.5413931360968631,-1.53126946998645,0.010123666110413154,-0.45355633582158694
1253,12.52,0.0,0.0,0.0,0.0,-0.10735895076511395,-0.5595727863130082,-0.16441559850100632,-0.0035258369114820665,-1.542458542541649,-1.5368641716476261,0.005594370894022926,-0.4522138355478943
1254,12.530000000000001,0.0,0.0,0.0,0.0,-0.10901403651324174,-0.5593537173594811,-0.16657863863753278,0.047298552745840244,-1.5435403894609665,-1.5424592276585318,0.0010811618024346714,-0.45033968084623943
1255,12.540000000000001,0.0,0.0,0.0,0.0,-0.11069004115833939,-0.5586277518870636,-0.1685969802718654,0.0978419989018796,-1.5446388930379644,-1.5480495561564163,-0.00341066311845184,-0.44793771072872424
