,t_ts,tau_fb_ts_1,tau_fb_ts_2,tau_ts_1,tau_ts_2,th_d_ts_1,th_d_ts_2,th_dd_ts_1,th_dd_ts_2,th_ts_1,th_ts_2,ref_th_d_1,ref_th_d_2,ref_th_1,ref_th_2,th_ts_2_rel,th_d_ts_2_rel
1,0.0,0.557676718891631,-3.1142862740300203,71.31530554418113,25.4481936871001,0.6776478015214416,0.6862113726356456,-0.059691463373213335,-0.0967860137641075,1.2367387592857877,-0.24329012218245166,0.6827132287599093,0.662973823957955,1.2367643262833101,-0.24340654952613638,-1.4800288814682394,0.008563571114204027
2,0.01,1.1941606776916358,-5.778542601582249,70.55361992112442,22.829805717728608,0.6772403800236649,0.685139794047276,-0.031379301351731614,-0.8639375382799035,1.2435128842313286,-0.2364331952324137,0.6871663004199471,0.6476973009506609,1.2436136685503603,-0.23685326153952824,-1.4799460794637422,0.007899414023611051
3,0.02,1.9028453459847383,-7.94647304179229,69.85169281113822,20.705491217608625,0.6771248353233731,0.6764009167715447,-0.0017800273187641052,-1.4889769345934531,1.2502843797930216,-0.2296253278638564,0.6916835597168929,0.6325045667564536,1.250507866246338,-0.2304523242110057,-1.4799097076568781,-0.0007239185518284064
4,0.03,2.677467933633637,-9.612661834387614,69.20313763437345,19.08075357091304,0.6773121355846973,0.6614170077089829,0.028513026003387103,-1.9700772612844424,1.257056222801147,-0.22293608359984615,0.6962604975765677,0.6174008652508182,1.2574475386683703,-0.22420287342731493,-1.4799923064009932,-0.015895127875714343
5,0.04,3.512131122028228,-10.802391900593356,68.60194376102895,17.93039550556153,0.6778071518943489,0.6416284314607484,0.05902263554729653,-2.3142422696199887,1.2638314695182522,-0.2164207125139325,0.7008926487463393,0.6023914272277211,1.2644332602366668,-0.21810399269156377,-1.4802521820321848,-0.036178720433600486
6,0.05,4.401268165563099,-11.562256986159214,68.04244171136986,17.207906914673906,0.6786101068592445,0.6184053176197191,0.08940710659824096,-2.5346230184097096,1.2706132014428304,-0.21012041187818165,0.7055755980859906,0.5874814581587208,1.2714655609642747,-0.2121547133154298,-1.480733613321012,-0.060204789239525436
7,0.06,5.339568861653254,-11.95192225795999,67.5192292079966,16.853704228753756,0.6797181134241728,0.5929860834445958,0.11945897663065858,-2.6481580975854473,1.2774044862240597,-0.20406333589661013,0.710304986738481,0.5726761262007243,1.2785449269891709,-0.20635401473256998,-1.4814678221206699,-0.08673202997957696
8,0.07,6.3218865834589355,-12.037234339105252,67.02707827445289,16.80202035369075,0.6811266041373943,0.5664395726729898,0.1490871294215564,-2.6735960192849877,1.2842083535762834,-0.19826610216086935,0.715076518150935,0.5579805505088596,1.2856718011673358,-0.20070082493048602,-1.4824744557371528,-0.11468703146440451
9,0.08,7.343144610863151,-11.884750375793784,66.560841615698,16.986375581352604,0.6828305055943766,0.5396469834637599,0.17828868060128808,-2.629921254779372,1.2910277843358944,-0.1927355777928049,0.719885963917524,0.5433997899083406,1.2928465837251686,-0.19519402099749916,-1.4837633621286992,-0.1431835221306167
10,0.09,8.398255424368628,-11.557650909461426,66.11537194515554,17.34366469920695,0.6848250808702808,0.513299542911891,0.20711711569329566,-2.535175474824499,1.2978657096845032,-0.1874707675852438,0.7247291694174672,0.5289388319762042,1.3000696329693282,-0.1898324297810059,-1.485336477269747,-0.17152553795838987
11,0.1,9.482061208882298,-11.112924396794083,65.6854625054154,17.816972456372987,0.6871064259765054,0.4879079704927474,0.2356519676363068,-2.405643272824469,1.3047250171097202,-0.18246466645432322,0.7296020592231597,0.5146025825803934,1.3073412660518287,-0.18461482865266143,-1.4871896835640435,-0.19919845548375797
12,0.11,10.589298797924329,-10.599660983422899,65.26581201329996,18.357279780240553,0.6896716543642009,0.46382008131606844,0.26397355430658015,-2.255356826335222,1.3116085597835592,-0.17770597655276724,0.7345006422553884,0.5003958559198813,1.314661759787962,-0.17953994637570725,-1.4893145363363265,-0.22585157304813241
13,0.12,11.714588370640477,-10.058266510385605,64.85101334190188,18.924249764510705,0.6925188327490812,0.44124333715907077,0.29214451206570946,-2.095865849054338,1.318519166534893,-0.17318062360202516,0.7394210166647197,0.4863233651055276,1.3220313515244313,-0.17460646406922065,-1.4916997901369182,-0.25127549559001044
14,0.13,12.852442630119555,-9.520400485849272,64.43556266839063,19.486289696084775,0.6956467433493075,0.4202696912779759,0.3201983927447316,-1.9362167003075015,1.3254596502933345,-0.16887303623389052,0.7443593744204006,0.4723897133169852,1.3294502400548396,-0.16981301626370593,-1.494332686527225,-0.2753770520713316
